HD,r' U2 r' B2 r U2 r' B2 r2,"r2 [L F2 L', B2] r2"
HE,x U' L U R' U' L' U R x',"x [U' L U, R'] x'"
HF,R U' L' U R' U' L U,"[R, U' L' U]"
HW,"x' [L U2 L', D2] x","x' [L U2 L', D2] x"
HM,R U' L2 U R' U' L2 U,"[R, U' L2 U]"
HN,U L' U' R' U L U' R,"[U L' U', R']"
HO,U L2 U' R' U L2 U' R,"[U L2 U', R']"
HP,y U L U' R2 U L' U' R2 y',"y [U L U', R2] y'"
HQ,R U' L U R' U' L' U,"[R, U' L U]"
HR,y' U2 L2 U' R' U L2 U' R U' y,"y' U2 [L2, U' R' U] U2 y"
HS,U2 L U' R2 U L' U' R2 U',"U [U L U', R2] U'"
HT,y U L U' R U L' U' R' y',"y [U L U', R] y'"
HX,U' R2 U' L' U R2 U' L U2,"U' [R2, U' L' U] U"
HY,y U' R U' L2 U R' U' L2 U2 y',"y U' R [U' L2 U, R'] R' U y'"
HZ,U2 L U' R U L' U' R' U',"U [U L U', R] U'"
,,
M,Alg,C ABA'B' C'
MA,R' D R U' R' D' R U,"[R' D R, U']"
MB,D R' F2 R D' R' D F2 D' R,"D R' [F2, R D' R' D] R D'"
MC,L' U' R' U L U' R U,"[L', U' R' U]"
MD,U2 R' D2 R U2 R' D2 R,"[U2, R' D2 R]"
ME,z' R U' R' D2 R U R' D2 z,"z' [R U' R', D2] z"
MF,L' B' U' R' U L U' R U r' U r,"L' B' [U' R' U, L] B L"
MG,U R' D R U' R' D' R,"[U, R' D R]"
MH,U' L2 U R U' L2 U R',"[U' L2 U, R]"
MI,x' U2 L U R2 U' L' U R2 U x,"x' U2 [L, U R2 U'] U2 x"
MO,y R D2 R U' R' D2 R U R2 y',"y R [D2, R U' R'] R' y'"
MP,D' L U2 L' D L U2 L',"[D', L U2 L']"
MQ,x' L U R2 U' L' U R2 U' x,"x' [L, U R2 U'] x"
